time,running_avg_rt_ms
3419.5324,137.2141
3419.5833,137.2147
3419.5957,137.2150
3419.6079,137.2149
3419.6183,137.2139
3419.7234,137.2137
3419.7415,137.2136
3419.7520,137.2124
3419.7606,137.2109
3419.8105,137.2094
3419.8251,137.2080
3419.8405,137.2065
3419.8841,137.2049
3419.9915,137.2040
3420.0145,137.2029
3420.0278,137.2014
3420.0642,137.2001
3420.0849,137.1988
3420.1007,137.1975
3420.1196,137.1964
3420.1402,137.1952
3420.1567,137.1942
3420.2274,137.1939
3420.2406,137.1924
3420.3262,137.1917
3420.3511,137.1908
3420.3563,137.1893
3420.3847,137.1879
3420.3857,137.1864
3420.4539,137.1856
3420.5177,137.1855
3420.5824,137.1856
3420.6338,137.1861
3420.6550,137.1846
3420.6629,137.1831
3420.7242,137.1820
3420.7479,137.1810
3420.7612,137.1798
3420.8656,137.1790
3420.8774,137.1783
3420.8856,137.1774
3420.9076,137.1760
3420.9534,137.1747
3420.9554,137.1732
3420.9938,137.1719
3421.0007,137.1706
3421.0703,137.1692
3421.1665,137.1682
3421.1877,137.1669
3421.3058,137.1656
3421.4067,137.1643
3421.4148,137.1627
3421.4192,137.1612
3421.5142,137.1608
3421.5382,137.1605
3421.5732,137.1603
3421.6376,137.1603
3421.7141,137.1602
3421.7314,137.1600
3421.8114,137.1606
3421.8543,137.1611
3421.8742,137.1618
3421.8827,137.1617
3421.9477,137.1619
3421.9902,137.1618
3422.0004,137.1618
3422.0740,137.1627
3422.1071,137.1636
3422.1110,137.1645
3422.1232,137.1647
3422.1429,137.1644
3422.2004,137.1639
3422.2124,137.1633
3422.2679,137.1634
3422.3787,137.1640
3422.3863,137.1641
3422.3952,137.1641
3422.4205,137.1643
3422.4387,137.1636
3422.4593,137.1627
3422.4678,137.1616
3422.4699,137.1600
3422.5111,137.1589
3422.5474,137.1582
3422.5974,137.1576
3422.6364,137.1573
3422.6464,137.1569
3422.6644,137.1565
3422.6936,137.1562
3422.7320,137.1558
3422.8108,137.1554
3422.8335,137.1547
3422.8501,137.1536
3422.8924,137.1529
3422.9003,137.1522
3422.9299,137.1516
3422.9953,137.1514
3423.0045,137.1502
3423.0463,137.1494
3423.0688,137.1483
3423.1213,137.1468
3423.1466,137.1452
3423.2294,137.1445
3423.3123,137.1434
3423.3514,137.1428
3423.3964,137.1423
3423.4268,137.1420
3423.4782,137.1416
3423.4968,137.1411
3423.5013,137.1399
3423.5336,137.1386
3423.5414,137.1371
3423.5809,137.1361
3423.6371,137.1352
3423.6683,137.1344
3423.7264,137.1338
3423.8192,137.1339
3423.8969,137.1337
3423.9546,137.1333
3423.9654,137.1322
3423.9723,137.1310
3423.9754,137.1295
3424.0745,137.1287
3424.0881,137.1278
3424.0943,137.1267
3424.1501,137.1255
3424.1658,137.1243
3424.1834,137.1230
3424.1878,137.1215
3424.2004,137.1200
3424.2776,137.1188
3424.3523,137.1172
3424.4527,137.1160
3424.5038,137.1153
3424.5274,137.1141
3424.5378,137.1129
3424.5575,137.1117
3424.7074,137.1102
3424.7603,137.1089
3424.7934,137.1079
3424.8204,137.1071
3424.8411,137.1065
3424.8644,137.1059
3424.8773,137.1046
3424.9519,137.1041
3424.9991,137.1034
3425.0093,137.1026
3425.0264,137.1012
3425.0711,137.1002
3425.0998,137.0994
3425.1075,137.0985
3425.2128,137.0988
3425.2180,137.0989
3425.2820,137.0996
3425.2880,137.0999
3425.3447,137.1006
3425.3716,137.1015
3425.3735,137.1023
3425.3783,137.1031
3425.4065,137.1037
3425.4154,137.1031
3425.4539,137.1022
3425.6748,137.1023
3425.6757,137.1023
3425.6840,137.1024
3425.7078,137.1026
3425.7264,137.1028
3425.8487,137.1038
3425.8859,137.1034
3425.8910,137.1030
3425.8981,137.1022
3426.0535,137.1019
3426.0922,137.1020
3426.0963,137.1021
3426.1190,137.1011
3426.1534,137.1003
3426.2047,137.1000
3426.2556,137.0985
3426.3351,137.0977
3426.3454,137.0969
3426.3578,137.0952
3426.4179,137.0937
3426.5311,137.0927
3426.5638,137.0911
3426.5711,137.0896
3426.6854,137.0893
3426.7149,137.0891
3426.7230,137.0889
3426.7343,137.0886
3426.7921,137.0890
3426.8108,137.0889
3426.9720,137.0905
3427.0131,137.0925
3427.0494,137.0948
3427.0900,137.0974
3427.1248,137.1000
3427.1305,137.1025
3427.1811,137.1056
3427.2043,137.1083
3427.2429,137.1109
3427.2700,137.1138
3427.2901,137.1148
3427.3109,137.1154
3427.3824,137.1167
3427.4000,137.1170
3427.4052,137.1174
3427.5261,137.1162
3427.5317,137.1149
3427.5645,137.1140
3427.5829,137.1125
3427.6008,137.1111
3427.6255,137.1098
3427.6485,137.1084
3427.6858,137.1071
3427.8365,137.1057
3427.9138,137.1041
3427.9198,137.1025
3428.0549,137.1018
3428.1332,137.1015
3428.1465,137.1012
3428.3433,137.1031
3428.3916,137.1037
3428.4455,137.1038
3428.5053,137.1047
3428.5132,137.1051
